player,url,score,title
TIM HENMAN,http://comp20008-jh.eng.unimelb.edu.au:9889/main/enmanove001.html,4-6 7-6 (8-6) 6-4 ,"Henman overcomes rival Rusedski"
ROGER FEDERER,http://comp20008-jh.eng.unimelb.edu.au:9889/main/edererwi098.html,5-7 7-5 7-6 ,"Federer wins title in Rotterdam"
MARAT SAFIN,http://comp20008-jh.eng.unimelb.edu.au:9889/main/afinslum002.html,7-6 (7-2) 6-4 ,"Safin slumps to shock Dubai loss"
ANDRE AGASSI,http://comp20008-jh.eng.unimelb.edu.au:9889/main/gassiint096.html,6-4 7-5 ,"Agassi into second round in Dubai"
ANDY RODDICK,http://comp20008-jh.eng.unimelb.edu.au:9889/main/oddickin004.html,7-6 (7-3) 6-3 ,"Roddick into San Jose final"
TIM HENMAN,http://comp20008-jh.eng.unimelb.edu.au:9889/main/enmanhop095.html,7-5 6-4 ,"Henman hopes ended in Dubai rain"
ANDY RODDICK,http://comp20008-jh.eng.unimelb.edu.au:9889/main/njuredRo094.html,7-5 6-3 ,"Injured Roddick quits in Memphis"
ROBBY GINEPRI,http://comp20008-jh.eng.unimelb.edu.au:9889/main/oungdebu006.html,6-2 6-2 ,"Young debut cut short by Ginepri"
ANDRE AGASSI,http://comp20008-jh.eng.unimelb.edu.au:9889/main/elzersho007.html,6-3 6-1 ,"Melzer shocks Agassi"
ROGER FEDERER,http://comp20008-jh.eng.unimelb.edu.au:9889/main/edererfo008.html,4-6 6-3 7-6 ,"Federer forced to dig deep"
ANDY RODDICK,http://comp20008-jh.eng.unimelb.edu.au:9889/main/oddickto091.html,7-6 (7-3) 6-3 ,"Roddick to face Saulnier in final"
RAFAEL NADAL,http://comp20008-jh.eng.unimelb.edu.au:9889/main/adalmarc009.html,7-5 6-3 ,"Nadal marches on in Mexico"
ANDRE AGASSI,http://comp20008-jh.eng.unimelb.edu.au:9889/main/elzersho089.html,6-3 6-1 ,"Melzer shocks Agassi in San Jose"
NICOLAS ALMAGRO,http://comp20008-jh.eng.unimelb.edu.au:9889/main/lmagroco088.html,6-7 6-4 6-4 ,"Almagro continues Spanish surge"
ANDY RODDICK,http://comp20008-jh.eng.unimelb.edu.au:9889/main/iggunse087.html,7-5 6-1 ,"Big guns ease through in San Jose"
GREG RUSEDSKI,http://comp20008-jh.eng.unimelb.edu.au:9889/main/usedskif086.html,6-4 7-5 ,"Rusedski forced out in Marseille"
TIM HENMAN,http://comp20008-jh.eng.unimelb.edu.au:9889/main/enmanhop014.html,7-5 6-4 ,"Henman hopes ended in Dubai"
ROBIN SODERLING,http://comp20008-jh.eng.unimelb.edu.au:9889/main/oderling085.html,6-3 6-7 (2-7) 7-6 (7-5) ,"Soderling wins tense Milan final"
MARAT SAFIN,http://comp20008-jh.eng.unimelb.edu.au:9889/main/afinreli083.html,1-6 6-3 6-4 6-4 ,"Safin relieved at Aussie recovery"
TAYLOR DENT,http://comp20008-jh.eng.unimelb.edu.au:9889/main/entconti078.html,6-1 6-1 ,"Dent continues Adelaide progress"
PETER WESSELS,http://comp20008-jh.eng.unimelb.edu.au:9889/main/lovakiar077.html,6-3 6-4 ,"Slovakia reach Hopman Cup final"
LLEYTON HEWITT,http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittfal024.html,7-6 (7-4) 6-3 ,"Hewitt falls to Dent"
LLEYTON HEWITT,http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittove030.html,7-5 6-0 ,"Hewitt overcomes wobble in Sydney"
CARLOS MOYA,http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyafight031.html,3-6 6-4 7-6 (7/5) ,"Moya fights back for Indian title"
GUILLERMO CORIA,http://comp20008-jh.eng.unimelb.edu.au:9889/main/ochussho032.html,6-4 6-4 ,"Rochus shocks Coria in Auckland"
JOACHIM JOHANSSON,http://comp20008-jh.eng.unimelb.edu.au:9889/main/ohansson033.html,7-5 6-3 ,"Johansson takes Adelaide victory"
LLEYTON HEWITT,http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittfig066.html,3-6 7-6 (7-3) 7-6 (7-4) 6-1 ,"Hewitt fights back to reach final"
DOMINIK HRBATY,http://comp20008-jh.eng.unimelb.edu.au:9889/main/lovakias035.html,6-4 6-1 ,"Slovakia seal Hopman Cup success"
LLEYTON HEWITT,http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittsur063.html,6-3 6-2 1-6 3-6 10-8 ,"Hewitt survives Nalbandian epic"
MARK PHILIPPOUSSIS,http://comp20008-jh.eng.unimelb.edu.au:9889/main/njurysid037.html,7-5 6-3 ,"Injury sidelines Philippoussis"
LLEYTON HEWITT,http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittfal038.html,7-6 (7-4) 6-3 ,"Hewitt falls to Dent in Adelaide"
ROGER FEDERER,http://comp20008-jh.eng.unimelb.edu.au:9889/main/edererbr039.html,6-1 6-2 ,"Federer breezes into semi-finals"
ANDRE AGASSI,http://comp20008-jh.eng.unimelb.edu.au:9889/main/dgyAgass060.html,7-5 7-6 (7-3) 6-1 ,"Edgy Agassi struggles past Dent"
CARLOS MOYA,http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyasuffe057.html,7-5 6-3 3-6 6-3 ,"Moya suffers shock loss"
GAEL MONFILS,http://comp20008-jh.eng.unimelb.edu.au:9889/main/rodigyMo043.html,6-4 7-6 (7-4) ,"Prodigy Monfils blows away Gaudio"
CARLOS MOYA,http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyaclinc046.html,6-2 7-6 (7-1) 7-6 (7-5) ,"Moya clinches Cup for Spain"
JUAN CARLOS FERRERO,http://comp20008-jh.eng.unimelb.edu.au:9889/main/ryantwin052.html,6-0 6-3 6-2 ,"Bryan twins keep US hopes alive"
TIM HENMAN,http://comp20008-jh.eng.unimelb.edu.au:9889/main/lassyHen048.html,6-1 7-5 ,"Classy Henman makes winning start"
CARLOS MOYA,http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyaemoti049.html,6-2 7-6 (7-1) 7-6 (7-5) ,"Moya emotional after Davis Cup win"
CARLOS MOYA,http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyaemoti050.html,6-2 7-6 (7-1) 7-6 (7-5) ,"Moya emotional at Davis Cup win"
